class,Length ,Diameter ,Height ,Whole weigh,Shucked weight,Viscera weight,Shell weight
Female,0.4,0.32,0.11,0.35,0.14,0.1,0.1
Female,0.6,0.48,0.17,1.25,0.48,0.23,0.43
Male,0.57,0.48,0.18,1.19,0.47,0.26,0.38
Female,0.61,0.45,0.2,1.1,0.48,0.29,0.32
Female,0.6,0.48,0.15,1.01,0.44,0.22,0.28
Male,0.6,0.48,0.14,0.94,0.36,0.19,0.32
Female,0.6,0.47,0.15,0.92,0.36,0.19,0.31
Female,0.56,0.43,0.14,0.79,0.28,0.16,0.29
Female,0.62,0.48,0.17,1.1,0.47,0.24,0.35
Female,0.58,0.45,0.14,0.94,0.38,0.25,0.29
Male,0.62,0.51,0.18,1.62,0.51,0.19,0.68
Female,0.52,0.43,0.17,0.99,0.4,0.23,0.32
Male,0.6,0.48,0.16,1.32,0.41,0.23,0.58
Male,0.58,0.45,0.14,1.01,0.38,0.22,0.36
Female,0.57,0.47,0.18,1.3,0.34,0.22,0.44
Male,0.63,0.47,0.14,1.2,0.48,0.21,0.4
Male,0.56,0.44,0.16,0.86,0.33,0.21,0.26
Female,0.46,0.36,0.13,0.52,0.22,0.11,0.17
Female,0.58,0.45,0.16,0.98,0.31,0.23,0.33
Male,0.57,0.43,0.14,0.81,0.34,0.17,0.26
Male,0.56,0.44,0.15,0.76,0.31,0.15,0.26
Male,0.6,0.47,0.18,1.12,0.4,0.25,0.39
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
